"Photos Folder","Photos Names","Vehicle Type","Vehicle Condition","Year","Make","Model","Exterior Color","Interior Color","Mileage","Fuel Type","Price","Description","Location","Groups"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3279","","Car/Track","","2019","FORD","F-150 * XLT * NO ACCIDENTS","Other","Black","282411","Other","18898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/P3278","P3278_05.jpg; P3278_04.jpg; P3278_03.jpg; P3278_02.jpg; P3278_01.jpg","Car/Track","","2016","AUDI","Q5 * AWD * MINT * MUST SEE","Black","Black","179417","Other","13898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3277","T3277_04.jpg; T3277_02.jpg; T3277_03.jpg; T3277_01.jpg","Car/Track","","2013","INFINITI","JX35 * AWD * NO ACCIDENTS","Silver","Black","156595","Other","9898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3276","T3276_04.jpg; T3276_03.jpg; T3276_02.jpg; T3276_01.jpg","Car/Track","","2014","FORD","FIESTA * TITANIUM * NO ACCIDENTS","Black","Black","93289","Other","8898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3275","T3275_03.jpg; T3275_01.jpg; T3275_02.jpg; T3275_04.jpg","Car/Track","","2014","BMW","X1 * LOW KM * MUST SEE","White","Other","119570","Other","10898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3274","T3274_02.jpg; T3274_05.jpg; T3274_04.jpg; T3274_03.jpg; T3274_01.jpg","Car/Track","","2017","INFINITI","QX80 * NO ACCIDENTS * DEALER SERVICED","Black","Black","193784","Other","20898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3273","T3273_04.jpg; T3273_05.jpg; T3273_03.jpg; T3273_02.jpg; T3273_01.jpg","Car/Track","","2014","AUDI","Q5 * DIESEL *  RARE * NO ACCIDENTS * DEALER SERVIC","Blue","Tan","201235","Diesel","15898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3272","T3272_01.jpg; T3272_03.jpg; T3272_02.jpg","Car/Track","","2015","HONDA","FIT * ONE OWNER *","Other","Black","279435","Other","8898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3270","T3270_01.jpg; T3270_02.jpg","Car/Track","","2018","RAM","1500 * ONE OWNER * NO ACCIDENTS","Black","Other","232756","Other","17898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
"/Users/i.kaliuzhnyi/PycharmProjects/facebook-marketplace-auto-dealership-bot/helpers/photos/T3265","T3265_03.jpg; T3265_01.jpg; T3265_02.jpg","Car/Track","","2015","AUDI","A4* AWD * ONE OWNER * LOW KM","Blue","Black","152562","Other","11898.0","FRESH TRADE *** INCOMING VEHICLE *** PLEASE CALL AHEAD FOR AVAILABILITY *** What else can you ask for ?!!! How about a GREAT DEAL !!!! BOOK YOUR DRIVE TODAY and let us know if we are not the lowest prices in Ontario :))) We are Canada's Motors Place. CALL NOW 1-705-728-2277 *** FINANCING AVAILABLE 

***Certification available for only $799. If not certified this vehicle is being sold “AS-lS"" and is not represented as being in road worthy condition, mechanically sound or maintained at any guaranteed level of quality. The vehicle may not be fit for use as a means of transportation and may require substantial repairs at the purchaser’s expense. It may not be possible to register the vehicle to be driven in its current condition.

IF CERTIFIED ALL VEHICLES WILL INCLUDE A 3 M / 3,000km / $1000 per claim A-PROTECT FULL-COVERAGE* WARRANTY

COVERAGE INCLUDES *

Electrical
Seals and Gaskets
Fuel Injection 
Steering 
Front Suspension
Brakes 
Air Conditioning
Engine
Transmission
Transfer Case
Differential
Turbo Supercharger
Supplementary Mechanical Parts
Towing
Roadside Assistance
Breakdown Away From Home


See in store for more details
www.canadasmotors.ca

***While we make every attempt to ensure the accuracy of this information, any changes, updates or corrections may not be reflected immediately. Every reasonable effort is made to ensure the accuracy of the information listed above. The vehicle pricing, incentives, options (including standard equipment), and technical specifications listed for this vehicle may not match the exact vehicle displayed. Please confirm with a sales representative the accuracy of this information

***$699 processing fee will apply for all financing deals ****","BARRIE, ONTARIO","default"
